Abattoir Name,RC Nr,Province,Status,ZA Nr,Expiry Date of ZA,Transformation/ Government,Price Information,SETA,Tel. 1,Tel. 2,FAX,VAT Number,Distance from Headoffice,Postal Address,City,Postal Code,Municipality,Physical Address, GPS Coordinates (DMS), GPS Coordinates (DMS) 2,Owner,Owner email,Owner Cell,Manager,Manager email,Manager Cell,Training,Training email,Training Cell,Accounts,Account email,Accounts Cell,Emails,Meat Inspection Services (Assignee Name),Assignee Contact Name,Assignee Contact Number,Meat Inspectors,Meat Examiner,QA Manager/s or HMS Contact,Floor Supervisor,Technical Manager,Contact Number,Email,Quality Control & Hygiene Manager,Cell Number,Email Control & Hygiene Manager,L/H,G,Units,Amount Slaughtered,CATTLE,CALVES,SHEEP,PIG,GOAT,GAME,CROCODILES,HORSES,Kosher,Halaal,Classification (C/NC),Grader,Deboning Plant,Processing Plant,Rendering Plant,Residue,2018 Member,2019 Member,2020 Members,2021 Members,2022 Members,2023 Members,2024 Members,2025 Members,2026 Members,Other Comments,Modified By,Modified,Modified Fields,Old Values,New Values,Can Mail Be sent to Client?,Date Mail Sent,Verification,DB UPDATED,Latest Update Received,Data Base Comment 
Sparta Foods (Pty) Ltd,04/027,Free State,Active,ZA 91,9/4/2019,?,Yes,AgriSETA,087 821 8444 ,,086 775 0999,4960180281,311.4,P O Box 88,Welkom,"9,460",Mathabeng (Welkom)  ,131 Power Road Welkom 9459 (320 km),,,Estelle Van Reenen,estelle@sparta.co.za,087 821 8444,Neil Venter (CEO),nielv@sparta.co.za,087 821 8444,Mrs Fulu Mphaphuli,fulum@sparta.co.za,066 486 2846,Deon van Rensburg,deonv@sparta.co.za,083 448 4537,"estelle@sparta.co.za; arthurm@sparta.co.za; lindiev@sparta.co.za, portian@sparta.co.za; elized@sparta.co.za",,,,,,,,,,,,,,HT,A,850,,x,,,,,,,,No,Yes,,,,,Yes (S49),x,Members,Members,Members,Members,Members,Members,,Members,,"Dr Neethling said he spoke with Neel and units is 850, 17.02.25",,,,,,No,,Pending Review,,2025.02.06,"Owner's details updated, manager's details, and accountants contacts updated"
Spaza Beef,02/021,Limpopo,Closed,,,,,,015 516 2398,,,,327.8,P O Box 444,,,,,,,PJ Venter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Spilsbury Farming (Swiss Valley Farms),04/082,Free State,Active,,,?,,,082 927 6805,,086 459 6882,,318.4,P O Box 323,Harrismith,"9,880",Thabo Mofutsanyaya,Swiss Valley Farm Harrismith,,,Courtney Spilsbury,spilsfarming@outlook.com,076 041 3276,Janine janse van vuuren,spilsoffice@gmail.com,076 563 8689,,,,,,,,,,,,,,,,,,,,,LT,E,8,,,,x,,,,,,No ,No ,,,,,,,No ,,,,,,,Members,,,,,,,,No,,Pending Review,2025.10.27,,Isabel is the one who confirmed the physical address
Springfontein Abattoir,04/036,Free State,Closed,,,?,,,051 783 0682,,051 783 0122,,594.2,P O Box 36,Springfontein,"9,917",,,,,Stef Venter,stefventer@lantic.net,083 282 8227,,,,,,,,,,,,,,,,,,,,,,,,RT,E,3,,x,x,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Standerton Abattoir,08/026,Mpumalanga,Active,,,?,,Foodbev,017 712 6904,,086 505 4007,4720146036,208.6,P O Box 61,Standerton,"2,430",,,"29°13'51""E ","26°58'05""S",Connie van Niekerk,connievn@telkomsa.net,082 521 2051,Jaco Van Niekerk,jacovniek@yahoo.com,082 521 2051,,,,,,,,,,,,,,,,,,,,,HT,B,60,,x,x,x,,,,,,No ,No ,,,,,,,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,2018.03.15 Received from Dirk
Star Multisave Abattoir,04/039,Free State,Active,,,?,,,,,,,367.9,P O Box 68,,,,,,,,,082 425 3558,,,,,,,,,,,,,,,,,,,,,,,,RT,,,,x,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Stella Vleisverspreiders/ Big L,03/047,North West,Active,,,?,,AgriSETA,053 983 0170,,053 983 0012,4140110208,397,P O Box 246,Stella,"8,650",,Farm Besjesbuilt Stella ,,,Deon Erasmus,deonsv@lantic.net,082 316 7770,Sharon Erasmus,sharon@stellavleis.co.za,083 963 7110,,,,Rika Stander,admin@stellavleis.co.za,,,,,,,,,,,,,,,,HT,A,150,,x,,x,,x,,,,No ,No ,,,,,,x,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Sterklewies (Pty) Ltd t/a Wolwehoek Abattoir ,04/079,Free State,Active,ZA 481,,?,,AgriSETA,016 972 8000,,,4020111797,156.6,Private Bag X 2037,Sasolburg,"1,947",Metsimaholo,1 Station Street Wowehoek,,,Edwin Claassen,admin@eac.co.za,082 900 5103,Fanie Booi,fanie@eac.co.za; dispatch@eac.co.za,071 681 7320,Elmien Louw,midq@eac.co.za,079 874 1711,Wimpie Venter,admin@eac.co.za,,piet@eac.co.za,,,,,,,,,,,,,,HT,A,180,,x,,x,x,,,,,No ,No ,,,,,,x,No ,,,,,,,Members,,,,,,,,No,,Pending Review,,2024.09.13,Units updated
Sterkstroom Abattoir,06/054,Eastern Cape,Closed,,,,,,045 966 0194,,,,798.8,P O Box 64,,,,,,,LA Haggard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Steynsburg Pork,04/007,Free State,Active,ZA 447,,?,,,010 447 5632,,,4830285773,333.3,P O Box 71897,Brynston,"5,920",Maluti A Phufung,"Corner Mophiring & Kolisang Street, Tshiame Hub, Harrismith 9880",,,Jesper / Bo Hielsen,bo@steynburgpork.co.za,060 965 1885,Jean Swart,jean@steynsburgpork.co.za,076 112 9014,Sizakele Sibanyoni,sizakele@steynsburgpork.co.za,079 973 0642,Tracey Creevy,traceyc@steynsburgpork.co.za,010 447 5632,traceyc@steynburgpork.co.za,FSA,,,,,,,,,,Sizakele Sibanyoni,27 79 973 0642,,HT,A,1000,,,,,x,,,,,No ,No ,,,,,,,No ,,,,,Members,Members,Members,,"2022/05/27 update tel nr, owner &amp; manager details<br>2024.08.07 Amended abattoir reg no from 06/055 to 04/007",,,,,,No,,Pending Review,,2025.07.02,Training and accountant's details updated as well as the units updated 
Stilbaai Abattoir,07/151,Western Cape,Closed,,,,,,028 754 2877,,,,1348,P O Box 272,,,,,,,Arnold AM Joubert,,082 341 2396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Stonecreek  (Chamdor Meat Packers),01/016,Gauteng,Active,ZA 34,6/9/2018,,,AgriSETA,011 762 1205,,,4570192213,75.9,P O Box 4284 ,Luipaardsvlei,,Mogale City,"23 Pillans Street, Chamdor",,,Wessel Muller,wessel@kruaba.co.za,082 856 7120,Fanie Schoeman,,072 371 8114,Bonita Gouws,,079 877 5145,Bonitata Gous,nita@kruaba.co.za,079 477 5145,chamdor@kruaba.co.za; glonet35@gmail.com; elmarieswanepoel@gmail.com,,,,,,,,,,,,,,HT,A,400,,x,,x,x,,,,,Yes,Yes,,,,,,x,Members,Members,Members,,,,,,,"The details are from the email that was sent by Tracy 02.06.22<br>Spoke to Madelein 27,03,2025 They do not export no ZA #",,,,,,No,,Pending Review,2020.02.28,2020.02.17,New abattoir name updated and new Manager updated
Stoneford (Mac Beef Abattoir),02/009,Limpopo,Active,,,?,,,015 495 1823,079 670 2188,,4130251590,260.5,P O Box 25752,Polokwane,700,Polokwane,"Plot 86 Leeuwkiul Polokwane (Mashashane/ Percy Five road, plus minus 13 km out of Polokwane",,,Deon Haasbroek,cherene@stonefordmeats.co.za,079 670 2188/ 082 560 8729,Hein Viljoen,hein@stonefordmeats.co.za,082 560 8729,,limpoporisk@gmail.com,,Cherene Viljoen,cherene@stonefordmeats.co.za,079 670 2188,msganilcc@gmail.com; macbeef786@gmail.com,,,,,,,,,,,,,,HT,A,400,,,,x,,,,,,No ,Yes,,,,,,x,Members,Members,,,,,,Members,,Shayna said they only slaughter pigs,,,,,,No,,Pending Review,,2025.01.17,"New Abattoir's name updated, owner, manager and accountant's details updated"
Straw Lamb Abattoir,04/042,Free State,Active,,,?,,AgriSETA,016 970 8400,,016 970 8422,4550260048,155.3,P O Box 1076 ,Sasolburg,"1,947",Metsimaholo,"Wilowdene Farm, Wolwehoek Koppies/Vereeniging Road (165 km)",,,Peter Straw,peter@strawlamb.co.za,082 880 2569,Marlene Meintjies,sales@strawlamb.co.za,084 587 5939,Salome Language,office@strawlamb.co.za,083 651 8103,Sharon Bothma,creditors@strawlamb.co.za; office@strawlamb.co.za,,admin@strawlamb.co.za,,,,,,,,,,,,,,HT,A,600,,,,x,,,,,,No ,Yes,,,,,,x,Members,Members,Members,Members,Members,,,,,Alta Grundling is replaced by Sharon Bothma 23.02.23,,,,,,No,,Pending Review,,2023.02.23,Got the email from Elize that the Abattoir is closed 
Strydfontein Abattoir,01/088,Gauteng,Active,,,?,,,012 525 1267,082 439 7428,,7560712574,39.3,P O Box 59442,Karen Park,118,,Plot 108. Strydfontein,,,LMC Trust / M Coetzee,mcstrydfontein@gmail.com,082 439 7428,Jannes Clissord,strydfontein@mailbox.co.za,073 158 5487,Janice,,,,,,,,,,,,,,,,,,,,HT,B,50,,x,x,x,x,,,,,No ,No ,,,,,,,Members,Members,Members,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,
Sunnydale Trading Abattoir,09/056,Northern Cape,Closed,,,,,,053 298 2400,,,,856,P O Box 1,,,,,,,Jean J Dugmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Super D,08/042,Mpumalanga,Active,,No,?,Yes,,013 243 8107,,,4200144477,169.8,P O Box 1478,Middelburg,"1,050",Middelburg,Farm Tweefontein Middelburg 1050,"29°18'37""E ","25°35'54""S",Mr C van Deventer,office@trid.farm.co.za,083 638 0400,,,,,,,Tanja van Deventer,,083 441 2587,,,,,,,,,,,,,,,LT,D,40,,x,,,,,,,,No,No,,,,,No,,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,"2022/05/27, change abattoir name"
Super Vleis Abattoir (Zutaten Abattoir),03/016R,North West,Active,,,?,,,071 876 1890,834610936,,,333.7,P O Box 156,Delareyville,"2,770",,40 Atoom Avenue Delareyville,,,Reghardt Cornelius,reghardt@zutaten.co.za,071 876 1540,,,,,,,,,,,,,,,,,,,,,,,,LT,E,20,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,Samic database
Superb Meat Abattoir,04/068,Free State,Active,ZA 275,14/08/2019,?,,AgriSETA,051 435 1765,051 433 1765,,4290179219,452.1,P O Box 13563,North Ridge,"9,324",Mangaung,7 Roedolf Greyling Ave Bloemfontein,,,Wynand Schreiber,wynand@justbeef.co.za; anne@justbeef.co.za,082 652 3177/ 082 574 0152,Maritza Van Der Westhuizen,technical@justbeef.co.za,071 245 9601,Maritza Van Der Westhuizen,technical@justbeef.co.za,071 245 9601,Mariska Groenewald,admin@justbeef.co.za,060 525 2024,admin@justbeef.co.za; sarieta@sjgcasa.co.za,,,,,,,,,,,,,,HT,A,150,,x,,x,,,,,,No,No,,,,,,x,Members,Members,Members ,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2025.02.20,"Telephone number, owner's email, manager's details and accountant's details updated"
Sutherland,09/008,Northern Cape,Closed,,,,,,023 571 1490,,,,1209.8,,,,,,,,I Paulsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Swart Mfolozi/check City,05/060,KZN,Active,,,?,,,035 780 6700,,,,664.6,Private Bag x 1048,Richards Bay,"3,900",,"Ekuhlengeni 701, Swart Mfolozi, 3115",,,MR. L. van Rooyen,,,,,,,,,,,,,Yes,Dr. C. C Meintjes,083 273 5797,,,,,,,,,,,LT,R,6,,x,,x,,,,,,No ,No ,,,,,,,Members,,Members,,,,,,,,,,,,,No,,Pending Review,,2018.06.27,Database received from Talita
Swartberg Abattoir,07/063,Western Cape,Closed,,,?,,,023 541 1981,,,,1157.2,P O Box 65,Prins Albert,"6,930",,,,,PJ Theron,,,,,,,,,,,,,,,,,,,,,,,,,,RT,R,1,,,,x,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Swartland Ostriches ,,,Inactive,ZA 26,31/08/2019,?,,,022 486 4034,,022 486 6776,,1438.2,P O Box 65,Malmesbury,"7,300",,Abattoir Street ,,,Christian Faivre,christian@roelco.co.za,022 486 6501,C Faivre,,082 651 3310,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,No ,No ,,,Yes,,,x,No ,,,,,,,,,,,,,,,No,,Pending Review,,2018.08.16,
Sweethome Meat Abattoir - BBB / check name update BBB,04/083,Free State,Active,,,?,,,082 920 6238,,,,192.5,P O Box 414,Heilbron,"9,650",,,,,JH Breytenbach,adminbbbabattoir@gmail.com,082 920 2643,,,082 454 1133,,,,,,,,,,,,,,,,,,,,,LT,E,8,,x,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,"2022/05/27 - change name, add celll nr, add owner nr, add manager name"
Swellendam Abattoir ,07/056,Western Cape,Closed,,,?,,,,,028 514 3244,,1414.9,P O Box 8,Swellendam,"6,740",,,,,Swellendam Abattoir,,,Danie D van Wyk,,072 200 8676,,,,,,,,,,,,,,,,,,,,,LT,E,5,,x,x,x,x,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
SWG (Delareyville Abattoir ),03/007,North West,Closed,,,?,,,053 948 0900,082 772 4356,053 948 0900,,331.7,P O Box 422,Stella,"8,650",,5 Boomstraat Delareyville,,,GG le Roux,,082 483 0238,Reghardt Corneli,reghardt@zutaten.co.za,071 876 1540,,,,,,,,,,,,,,,,,,,,,LT,E,15,,x,,x,x,x,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Syferfontein Slagpale,03/008R,North West,Active,,,?,,Foodbev,018 011 0266,,086 685 3422,4070181062,176.7,P O Box 19729 Noordburg,Potchefstroom,"2,522",,Plaas 134 Syderfontein Tlokwe,,,GJ Joubert,syferfonteinslagpale@truenw.co.za,082 7676 738,John Berry,slag@truenw.co.za,061 057 4419,Chelisile Chauke,slag@truenw.co.za,073 870 0638,Ellainie Joubert,syferfonteinslagpalle@truenw.co.za,,,,,,,,,,,,,,,,HT,A,200,,x,,x,x,l,,,,No ,No ,,,,,,x,Invoiced,,,Members ,Members,members,Members,Members,,,,,,,,No,,Pending Review,,2025.08.13,New manager updated
T H Niemack Abattoir,05/063,KZN,Active,,,?,,,039 543 0105,,039 543 0105,,674.6,P O Box 14,Nqabeni,"4,682",,,,,Ricky R Niemack,niemacksbutchery@saol.com,083 700 8936,,,,,,,,,,,,,,,,,,,,,,,,LT,R,3,,x,x,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Table Bay Cold Storage,,Western Cape,Active,ZA 4,Yes,?,,,021 508 8464,,021 511 2300,,1450.6,P O Box 156,Paarden Eiland,"7,420",,6 Auckland Street,,,Dieter Veening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,2018.08.16,
Tafelkop Abattoir,04/084,Free State,Closed,,,,,,,,,,179.6,P O Box 545 ,,,,,,,DJ Odendaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Tantus Trading 231 (PTY) LTD Previously  - Excell Vleis Abattoir ,04/064,Free State,Active,,,?,,Foodbev,082 858 8882,,,4280257116,628.6,P O Box 13152,Northridge,"9,310",Mohokare,Louw Street 200 Rouxville Free State,,,EG Van Pletsen,admin@tawyn.co.za,082 554 1850,Denise Drotske,admin@tawyn.co.za,082 858 8882,Denise Drotske,admin@tawyn.co.za,082 858 8882,Denise Drotske,admin@tawyn.co.za,,,,,,,,,,,,,,,,HT,B,50,,x,,x,,,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,3-Mar-26,Pending Review,,2025.03.25,Postal address updated and abattoir certificate received
Tariyyah Halaal / update details,06/018,Eastern Cape,Active,,,,,,041 582 3907,,,,892.4,P O Box 2282,,,,,,,A S Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Tarka Abattoir,06/059,Eastern Cape,Active,,,?,,,045 839 2854,,,,854.3,P O Box 169,Tarkastad,"5,370",,,,,EC Barnard,,,,,,,,,,,,,,,,,,,,,,,,,,RT,R,2,,x,,x,x,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,,
Taung Agricultural College,03/026,North West,Closed,,,,,,053 994 9800,,,,351.5,Privat Bag X532,,,,,,,Taung Agricultural College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Members ,,,,,,,,,,,,No,,Pending Review,,,
Tayside Abattoir,06/094,Eastern Cape,Closed,,,,,,042 295 2093,,,,892.4,P O Box 66,,,,,,,JWB Shaw,,083 470 0380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Thaba Kwena Crocodile Abattoir,■,Limpopo,Active,ZA 56,30-11-2018,,,,014 736 4774,,014 736 4774,,128.2,P O Box 2294,Modimolle,510,,"Buisfontein, Bela Bela ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Thabazimbi Abattoir,02/001,Limpopo,Active,,No,?,Yes,AgriSETA,014 777 1746,,,4390116368,209.6,P O Box 625,Thabazimbi,380,Thabazimbi,"Warmbad Wes, Thabazimbi, 0380",,,Danie Marchell Ellis,ellis@tbzabattoir.co.za,078 142 9639/073 737 8800,Danie Ellis,admin@tbzabattoir.co.za,078 142 9639,Marchell Ellis,,073 737 8800,Marchell Ellis,,,,,,,,,,,,,,,,,HT,B,80,,x,,x,x,,,,,No ,No ,,,,,,x,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Theunissen Abattoir,04/033,Free State,Active,,,?,,,083 665 1436,,,4440307645,361.1,P O Box 233,Theunissen,"9,410",,"Smaldeel plaas, deel 3",,,Hennie Smit,anrinaude@gmail.com,082 924 9875,,,,,,,,,,,,,,,,,,,,,,,,HT,C,30,,x,,x,x,,,,,No ,No ,,,,,,,No ,,,,,,,,,,,,,,,No,,Pending Review,,2025.07.07,"New owner's details updated, Vat number as well as telephone number"
Timbavati,08/060,Mpumalanga,Active,,,?,,,015 793 2436,015 793 2394,015 793 3181,,448.5,PO Box 136 ,Hoedspruit,"1,380",,Timbavati PNR Headquaters ChiManiMani Gate Ptn 1 of Thornybush 78ku Guernsey Road Hoedspruit 1380,"31°09'42""E ","24°22'32""S",Mr. J Brits,warden@timbavati.co.za,078 712 3389,Persevarance Monareng,almero@timbavati.co.za,078 066 3229/078 051 3711,Kulani Nyakane,,071 902 0858,Amanda Cilliers,admin@timbavati.co.za,083 650 8288,,,,,,,,,,,,,,,LT,,5,,,,,,,x,,,No ,No ,,,,,,,Members,Members,Members,,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,2018.03.15 Received from Dirk
Tomis Abattoir & Fresh Meat Wholesalers ,07/017,Western Cape,Active,ZA 235,2024.07.01,?,Yes,Foodbev,022 448 1680,,022 448 1684,4380139859,1408.2,P O Box 596 ,Wellington,"7,654",Drakenstein,R44 Tussen Hermon en Gouda (Plaas Vorentoe),,,Mr Thomas Moolman / Mrs HC Moolman,tommy@tomis.co.za,082 553 4740,Bok Pretorius,bok@tomis.co.za,083 462 1414,Pierre Lloyd,laurie@tomis.co.za,083 460 2120,Nita Terblanche,nita@tomis.co.za; elle@tomis.co.za,,,,,,,,,,,,,,,,HT,B,60,,x,,x,,,,,,Yes,No ,,,,,Yes,x,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,"2022/05/27 contact persone Laurie Terblanche 083 460 2120
2025.01.09 Updated details of Bok Pretorius as General Manager (info received from GN)"
Towerkop Abattoir CC,07/029,Western Cape,Closed,,,?,,,028 551 1595,,028 551 1595,,1293,P O Box 60,Ladysmith,"6,655",,,,,DC Maree,,072 220 9121,,,,,,,,,,,,,,,,,,,,,,,,LT,E,8,,x,x,x,,,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Trans Karoo Vleisverspreiders,04/099,Free State,Closed,,,,,,058 893 0401,,,,367.9,P O Box 92,,,,,,,RD Le Roux,,082 376 3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Travellers Rest Abattoir,07/047,Western Cape,Active,,,?,,,027 482 1629,,086 566 5493,,1341.4,"P O Box 309
",Clanwilliam,"8,135",JJL Strauss,"Travellers Rest Clanwilliam 8135
",,,Frikkie Strauss,drstrauss@drfjstrauss,083 230 4767,,julietteherbst@gmail,Johannes Jakobus Louw Strauss,johannstrauss2000@gmail.com,,,Juliette Herbst,julietteherbst@gmail.com,082 863 0693,johan@numolux.com,,,,,,,,,,,,,,LT,R,2,,x,x,x,,,,,,No,No,,,,,,,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,
Tsitsikamma Meat Company (Turning Leaves Meat Processors),06/097,Eastern Cape,Active,,,,,,041 961 5018,,,,1183.4,P O Box 37,,,,Dairy Hill Farm Humansdorp,,,Deon D Scheepers,,,Zarhoda Radameyer,sales@tlmeat.co.za,072 952 8390,,,,,,,,,,,,,,,,,,,,,LT,E,2,,x,,x,x,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,2024.07.08,"New name updated, species, units and physical address updated"
Tsolo Agriculture College,,Eastern Cape,Active,,,,,,,,,,892.4,Under construction,,,,,,,No Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Tsukudu Abattoir/ Kagiso,03/015,North West,Active,,,?,,,072 628 7704,,,,183,P O Box 235,Swartruggens,"2,835",Tlokweng,1402 B Modubeng Section Tlokweng,,,Mr Rakuba,,,M. Rakuba,violetts2tsimpe@gmail.com,072 628 7704,,,,,,,,,,,,,,,,,,,,,RT,E,2,,x,,,,,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Uitvlught Abattoir,01/028,Gauteng,Closed,,,?,,,084 605 2105,084 605 2105,016 424 1200,372724647,66,P O Box 264097,Drie Riviere,"1,935",Sedibeng ,Greenlands Farm,,,Barend F Keet,barend@bksgroup.co.za,082 550 5200,Mr Yolanda Conradie,amanda@bksgroup.co.za,084 605 2105,Amanda Keet,,083 283 1525,,,,,,,,,,,,,,,,,,LT,D,15,,x,,x,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Umzikantu Red Meat Abattoir (Umtata)/Ntinga OR Tambo Development Agency,06/007,Eastern Cape,Active,,,Yes,,,047 537 0076,047 495 0537,047 537 0075,7980274841,976.6,P O Box 7076,Mthatha,"5,100",,"No 1 Mnyameni Road, Zamukulungisa Industrial Area, Mthatha 5100",,,Ntinga OR Tambo Development Agency,nwabisam@ntinga.org.za,076 948 0797,Xola Mapatwana,xolam@ntinga.co.za,083 347 1915,,xolam@ntinga.org.za,,Siphelele Mankayi,xolam@ntinga.org.za,071 830 7970,xolam@ntinga.org.za; mapatwanax@webmail.co.za; siphelelem@ntinga.org.za,,,,,,,,,,,,,,HT,B,50,,x,,x,x,,,,,No,No,,,,,,,No,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,"2022/05/27, add tel nr, manager cell nr"
Umzimvubu Goat Abattoir,06/003,Eastern Cape,Closed,,,,,,039 254 0320,,,,892.4,Private Bag X 511 ,,,,,,,Umzimvubu Municipality  Att: Zukiswa,,083 551 0887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Upington Abattoir (Pty) Ltd,09/027,Northern Cape,Active,ZA 305,26/04/2019,?,,AgriSETA,054 331 2987,054 337 7500,054 331 2987,4760132136,818.9,P.O. Box 86,Upington,"8,800",David Kruiper,Upington Abattoir 2 Industrial Road Upington 8800,,,KLK Landbou Bpk ,philipha.klk.co.za,079 391 5382,Sampie Rossouw,hygiene@klk.co.za,082 312 7208,Sampie Rossouw,,,R van der Merwe,krediteur3@klk.co.za,054 337 6200,werner@klk.co.za,,,,,,,,,,,,,,HT,A,113,,x,,x,,,,,,No,Yes,,,,,,x,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2024.05.10,Owner's email updated and accountant's details updated
Vaalbank Abattoir,04/071,Free State,Closed,,,?,,,082 490 1930,,057 651 4848,,295.3,P O Box 234,Ventersburg,"9,540",,,,,JH Du Preez,jansiestud@vodamail.co.za,082 490 1930,,,,,,,,,,,,,,,,,,,,,,,,LT,D,15,,x,x,,,x,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Vaaldrift Abattoir,04/107,Free State,Closed,,,,,,056 818 1352,,,,367.9,P O Box 53,,,,,,,WR Dedwith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Vaalwater Abattoir (2002),02/075,Limpopo,Closed,,,,,,014 755 2422,,,,189.5,P O Box 288,,,,,,,HCF Faber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Vadersgift Abattoir,04/108,Free State,Closed,,,,,,,,,,367.9,P O Box 295,,,,,,,D Wessels,,082 551 4849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Van Rensburg Vleis,07/014,Western Cape,Active,,,?,,,044 870 8401,,044 874 7119,4380113458,1226.6,P O Box 288,George,"6,530",,,,,Jan van Rensburg,vrfoods@mweb.co.za,083 628 4014,,,,,tonimrmeat@gmail.com,,,janvrvleis@gmail.com,,,,,,,,,,,,,,,,LT,D,15,,x,x,x,x,,,,,No,No ,,,,,,,Members,Members,Members ,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,,
Van Zyl's,01/004G,Gauteng,Closed,,,?,,,016 987 7454,,,,138.1,,Vanderbijlpark,"1,911",,"577 Kaalplaats, Vanderbijlpark",,,Mr. J Van Zyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
